%eval_id interface             x1         banana       obj_fn_1       obj_fn_2 
141          NO_ID -0.09279875508    2.024794304    -0.00236997    -0.00236997 
142          NO_ID -0.02390705004     2.81578899   -0.000570029   -0.000570029 
143          NO_ID   0.2016992826     3.99605465     0.00368997     0.00368997 
144          NO_ID   0.4104959436    4.653492561     0.00540288     0.00540288 
145          NO_ID   0.4117940862    3.417496859     0.00540669     0.00540669 
146          NO_ID   0.4117940862    3.660032518     0.00540669     0.00540669 
147          NO_ID   0.5258840446    3.411821738     0.00542985     0.00542985 
148          NO_ID   0.5736007502    3.695966892     0.00525005     0.00525005 
149          NO_ID   0.5736007502    3.699993774     0.00525005     0.00525005 
150          NO_ID   0.7564066871    3.600733565     0.00352371     0.00352371 
151          NO_ID    1.014016875    2.164476574    -0.00170076    -0.00170076 
152          NO_ID    1.023882931    2.087461708     -0.0019653     -0.0019653 
153          NO_ID    1.023882931    3.511220674     -0.0019653     -0.0019653 
154          NO_ID    1.023882931    3.660032518     -0.0019653     -0.0019653 
155          NO_ID    1.023882931      3.8668273     -0.0019653     -0.0019653 
156          NO_ID    1.119301669     3.14657753    -0.00477602    -0.00477602 
157          NO_ID    1.146260219      3.8668273    -0.00565154    -0.00565154 
158          NO_ID    1.146260219    4.007981978    -0.00565154    -0.00565154 
159          NO_ID    1.179129701    4.026448579     -0.0067675     -0.0067675 
160          NO_ID    1.179129701    4.127157921     -0.0067675     -0.0067675 
161          NO_ID    1.416518291    3.838108053     -0.0164122     -0.0164122 
162          NO_ID    1.528037157    4.353211354     -0.0219056     -0.0219056 
163          NO_ID    1.546712209      2.8754444     -0.0228849     -0.0228849 
164          NO_ID    1.591854453    2.351819755     -0.0253267     -0.0253267 
165          NO_ID    1.631027138    2.144077894     -0.0275256     -0.0275256 
166          NO_ID    1.631027138    2.863510816     -0.0275256     -0.0275256 
167          NO_ID    1.680597373    4.687518752     -0.0304189     -0.0304189 
168          NO_ID     1.70168762    4.807231636     -0.0316868     -0.0316868 
169          NO_ID    1.732915816    3.280387452     -0.0336047     -0.0336047 
170          NO_ID    1.828359856    2.520480061     -0.0397687     -0.0397687 
171          NO_ID    1.996035079    3.247046744     -0.0516972     -0.0516972 
172          NO_ID    2.222953061    4.026448579     -0.0700807     -0.0700807 
173          NO_ID   -1.543054367      3.8668273     -0.0947648     -0.0947648 
174          NO_ID  -0.2259583162     2.81578899    -0.00651176    -0.00651176 
175          NO_ID  -0.1628963552    2.496199222    -0.00444142    -0.00444142 
176          NO_ID  -0.1628963552    4.353211354    -0.00444142    -0.00444142 
177          NO_ID -0.02390705004    2.024794304   -0.000570029   -0.000570029 
178          NO_ID -0.02390705004    3.979583355   -0.000570029   -0.000570029 
179          NO_ID  0.01277877298    3.117386459    0.000293154    0.000293154 
180          NO_ID  0.01277877298    3.660032518    0.000293154    0.000293154 
181          NO_ID  0.01277877298      3.8668273    0.000293154    0.000293154 
182          NO_ID  0.01277877298    3.940939561    0.000293154    0.000293154 
183          NO_ID   0.1868254371    3.398843055     0.00348619     0.00348619 
184          NO_ID   0.4117940862    3.116592662     0.00540669     0.00540669 
185          NO_ID   0.5736007502    2.441684727     0.00525005     0.00525005 
186          NO_ID   0.5736007502    3.463169086     0.00525005     0.00525005 
187          NO_ID   0.5736007502    3.600733565     0.00525005     0.00525005 
188          NO_ID   0.5736007502    3.637627951     0.00525005     0.00525005 
189          NO_ID   0.6829831245    2.164476574     0.00441442     0.00441442 
190          NO_ID   0.7564066871     2.06386327     0.00352371     0.00352371 
191          NO_ID   0.7564066871    3.699993774     0.00352371     0.00352371 
192          NO_ID    1.014016875    4.848926178    -0.00170076    -0.00170076 
193          NO_ID    1.023882931    3.695966892     -0.0019653     -0.0019653 
194          NO_ID    1.023882931    4.640467696     -0.0019653     -0.0019653 
195          NO_ID    1.023882931    4.653492561     -0.0019653     -0.0019653 
196          NO_ID    1.119301669     2.81578899    -0.00477602    -0.00477602 
197          NO_ID    1.146260219    3.117386459    -0.00565154    -0.00565154 
198          NO_ID    1.146260219    4.127157921    -0.00565154    -0.00565154 
199          NO_ID    1.181713393    3.247046744    -0.00685748    -0.00685748 
200          NO_ID    1.279935412    4.007981978     -0.0105221     -0.0105221 
201          NO_ID    1.416518291      3.8668273     -0.0164122     -0.0164122 
202          NO_ID    1.528037157     3.28522324     -0.0219056     -0.0219056 
203          NO_ID   -1.291389649    2.583642035     -0.0712219     -0.0712219 
204          NO_ID -0.02390705004    3.247046744   -0.000570029   -0.000570029 
205          NO_ID -0.02390705004     3.99605465   -0.000570029   -0.000570029 
206          NO_ID -0.02390705004      4.8958388   -0.000570029   -0.000570029 
207          NO_ID  0.01277877298    3.359710338    0.000293154    0.000293154 
208          NO_ID   0.1955222367    3.417496859     0.00360677     0.00360677 
209          NO_ID   0.2398209117    2.164476574     0.00416277     0.00416277 
210          NO_ID   0.2398209117    2.661392964     0.00416277     0.00416277 
211          NO_ID   0.4117940862    4.640467696     0.00540669     0.00540669 
212          NO_ID   0.4223631841    2.012878336     0.00543584     0.00543584 
213          NO_ID   0.4856695475     2.81578899      0.0054949      0.0054949 
214          NO_ID   0.5736007502    2.024794304     0.00525005     0.00525005 
215          NO_ID   0.5736007502     2.06386327     0.00525005     0.00525005 
216          NO_ID   0.5736007502      3.8668273     0.00525005     0.00525005 
217          NO_ID   0.7564066871     2.81578899     0.00352371     0.00352371 
218          NO_ID   0.7564066871    4.664572366     0.00352371     0.00352371 
219          NO_ID    1.014016875     2.06386327    -0.00170076    -0.00170076 
220          NO_ID    1.014016875    3.979583355    -0.00170076    -0.00170076 
221          NO_ID    1.023882931    2.024794304     -0.0019653     -0.0019653 
222          NO_ID    1.023882931     2.06386327     -0.0019653     -0.0019653 
223          NO_ID    1.023882931    4.726744719     -0.0019653     -0.0019653 
224          NO_ID    1.033255659    3.463169086    -0.00222152    -0.00222152 
225          NO_ID    2.445741852    3.398843055     -0.0906525     -0.0906525 
226          NO_ID  -0.6332016036      3.8668273     -0.0246044     -0.0246044 
227          NO_ID  0.01108802902      4.8958388    0.000254828    0.000254828 
228          NO_ID  0.01277877298    2.661392964    0.000293154    0.000293154 
229          NO_ID  0.01277877298    3.411821738    0.000293154    0.000293154 
230          NO_ID  0.01277877298    3.637627951    0.000293154    0.000293154 
231          NO_ID   0.1955222367    3.247046744     0.00360677     0.00360677 
232          NO_ID   0.2016992826    3.463169086     0.00368997     0.00368997 
233          NO_ID   0.2016992826    4.640467696     0.00368997     0.00368997 
234          NO_ID   0.2398209117    4.653492561     0.00416277     0.00416277 
235          NO_ID   0.4117940862    2.950741484     0.00540669     0.00540669 
236          NO_ID   0.4117940862     3.99605465     0.00540669     0.00540669 
237          NO_ID   0.4856695475    2.024794304      0.0054949      0.0054949 
238          NO_ID   0.5736007502    2.661392964     0.00525005     0.00525005 
239          NO_ID   0.5736007502    2.695690012     0.00525005     0.00525005 
240          NO_ID   0.5736007502    4.726744719     0.00525005     0.00525005 
241          NO_ID   0.7282602166    2.583642035      0.0038965      0.0038965 
242          NO_ID   0.7564066871    2.441684727     0.00352371     0.00352371 
243          NO_ID    1.304300594    3.463169086      -0.011505      -0.011505 
244          NO_ID    2.525662926    2.863510816     -0.0986493     -0.0986493 
245          NO_ID   -1.988112354     2.06386327      -0.144231      -0.144231 
246          NO_ID  -0.3557022146      3.8668273     -0.0113871     -0.0113871 
247          NO_ID   0.1868254371    2.950741484     0.00348619     0.00348619 
248          NO_ID   0.1955222367     3.99605465     0.00360677     0.00360677 
249          NO_ID   0.1955222367    4.640467696     0.00360677     0.00360677 
250          NO_ID   0.2016992826     2.48442228     0.00368997     0.00368997 
251          NO_ID   0.2016992826    2.695690012     0.00368997     0.00368997 
252          NO_ID   0.2016992826    3.417496859     0.00368997     0.00368997 
253          NO_ID   0.4104959436    2.012878336     0.00540288     0.00540288 
254          NO_ID   0.4117940862    4.653492561     0.00540669     0.00540669 
255          NO_ID   0.5736007502    2.012878336     0.00525005     0.00525005 
256          NO_ID   0.5736007502    3.287258996     0.00525005     0.00525005 
257          NO_ID   0.5736007502     3.99605465     0.00525005     0.00525005 
258          NO_ID   0.5736007502    4.640467696     0.00525005     0.00525005 
259          NO_ID   0.7282602166    3.447603531      0.0038965      0.0038965 
260          NO_ID   0.7282602166    3.637627951      0.0038965      0.0038965 
261          NO_ID   -1.934291961    3.417496859      -0.137714      -0.137714 
262          NO_ID   -1.143940408    4.653492561     -0.0589041     -0.0589041 
263          NO_ID  -0.7155111733    4.353211354     -0.0292569     -0.0292569 
264          NO_ID   0.2016992826    4.653492561     0.00368997     0.00368997 
265          NO_ID   0.2398209117    3.117386459     0.00416277     0.00416277 
266          NO_ID   0.4104959436    3.059301111     0.00540288     0.00540288 
267          NO_ID   0.4223631841    4.353211354     0.00543584     0.00543584 
268          NO_ID   0.4856695475    4.653492561      0.0054949      0.0054949 
269          NO_ID   0.5258840446    2.661392964     0.00542985     0.00542985 
270          NO_ID   -1.446821224    2.441684727     -0.0853866     -0.0853866 
271          NO_ID   0.4104959436    2.695690012     0.00540288     0.00540288 
272          NO_ID   0.4104959436    3.600733565     0.00540288     0.00540288 
273          NO_ID   0.4117940862    2.012878336     0.00540669     0.00540669 
274          NO_ID   0.4856695475     2.06386327      0.0054949      0.0054949 
275          NO_ID   0.4856695475    3.699993774      0.0054949      0.0054949 
276          NO_ID   0.5736007502    2.991240747     0.00525005     0.00525005 
277          NO_ID   0.5736007502    4.653492561     0.00525005     0.00525005 
278          NO_ID   -1.831052383    2.012878336      -0.125626      -0.125626 
279          NO_ID   0.4117940862    2.661392964     0.00540669     0.00540669 
280          NO_ID   0.4856695475    2.012878336      0.0054949      0.0054949 
281          NO_ID   0.4856695475     3.99605465      0.0054949      0.0054949 
282          NO_ID   0.5258840446    4.640467696     0.00542985     0.00542985 
283          NO_ID   0.5736007502    2.950741484     0.00525005     0.00525005 
284          NO_ID    1.308283614    2.012878336     -0.0116685     -0.0116685 
285          NO_ID    1.471160798    3.059301111     -0.0190271     -0.0190271 
286          NO_ID    2.101302707    2.012878336      -0.059901      -0.059901 
287          NO_ID   0.4104959436    2.137970738     0.00540288     0.00540288 
288          NO_ID   0.4104959436    3.116592662     0.00540288     0.00540288 
289          NO_ID   0.4117940862    3.986920555     0.00540669     0.00540669 
290          NO_ID   0.4856695475    3.417496859      0.0054949      0.0054949 
291          NO_ID   0.4856695475    4.353211354      0.0054949      0.0054949 
